ID,firstName,lastName,username,avatar,role,bio,password,email
1,Eline,Maes,emaes,https://uinames.com/api/photos/female/2.jpg,"Business
",Explorer. Introvert. Passionate food expert. Future teen idol. Lifelong internet trailblazer. Writer.,Maes97@$,eline.maes@example.com
2,Justin,Howell,jhowell,https://uinames.com/api/photos/male/7.jpg,Tech,Friendly coffee aficionado. Freelance music buff. Professional web junkie. Certified internet nerd.,Howell92#_,justin92@example.com
3,Victoria,Román,vroman,https://uinames.com/api/photos/female/20.jpg,Product,Twitter scholar. Analyst. Incurable tv ninja. Devoted alcohol enthusiast. Future teen idol.,Román90^{,victoria_90@example.com
4,Aurelia,Câmpeanu,acamp,https://uinames.com/api/photos/female/25.jpg,Innovation,Proud creator. Pop culture advocate. Certified student. Zombie scholar. Typical alcohol specialist.,Câmpeanu90_+,aurelia_90@example.com
5,Andrea,Roberston,arobers,https://uinames.com/api/photos/female/6.jpg,"Business
",Amateur tv buff. Pop culture geek. Social media specialist. Subtly charming alcohol evangelist. Web expert.,Robertson86$$,andrea86@example.com
6,Grace,Simpson,gsimpson,https://uinames.com/api/photos/female/1.jpg,Tech,Gamer. Total student. Analyst. Typical travel fan. Food scholar. Certified social media guru.,Simpson95$$,grace95@example.com
7,Willie,Morris,wmorris,https://uinames.com/api/photos/male/14.jpg,Product,Entrepreneur. Music ninja. Explorer. Unable to type with boxing gloves on. Web lover. Problem solver. Evil organizer,Morris83~@,willie-83@example.com
8,Juan Antonio ,Marín,jamarin,https://uinames.com/api/photos/male/19.jpg,Innovation,Music trailblazer. Pop culture guru. Coffee junkie. Communicator. Gamer.,JuanAntonioMarín88=*,jam-88@example.com
9,María,Molina,mmolina,https://uinames.com/api/photos/female/26.jpg,"Business
",Certified tv nerd. Pop culture lover. Friendly writer. Coffee expert. Evil communicator.,MaríaRosarioMolina85#,mrm85@example.com
10,David,Pérez,dperez,https://uinames.com/api/photos/male/12.jpg,Tech,Hardcore writer. Typical communicator. Friend of animals everywhere. Avid bacon fanatic. Organizer. Award-winning alcohol ninja.,Pérez86=&,david_pérez@example.com
